event_id,config_pt50_eta-4.0_4.0_neutralsTrue_secondariesTrue,config_pt50_eta-4.0_4.0_neutralsTrue_secondariesFalse,config_pt50_eta-4.0_4.0_neutralsFalse_secondariesTrue,config_pt50_eta-4.0_4.0_neutralsFalse_secondariesFalse,config_pt50_eta-3.0_3.0_neutralsTrue_secondariesTrue,config_pt50_eta-3.0_3.0_neutralsTrue_secondariesFalse,config_pt50_eta-3.0_3.0_neutralsFalse_secondariesTrue,config_pt50_eta-3.0_3.0_neutralsFalse_secondariesFalse,config_pt100_eta-4.0_4.0_neutralsTrue_secondariesTrue,config_pt100_eta-4.0_4.0_neutralsTrue_secondariesFalse,config_pt100_eta-4.0_4.0_neutralsFalse_secondariesTrue,config_pt100_eta-4.0_4.0_neutralsFalse_secondariesFalse,config_pt100_eta-3.0_3.0_neutralsTrue_secondariesTrue,config_pt100_eta-3.0_3.0_neutralsTrue_secondariesFalse,config_pt100_eta-3.0_3.0_neutralsFalse_secondariesTrue,config_pt100_eta-3.0_3.0_neutralsFalse_secondariesFalse,config_pt150_eta-4.0_4.0_neutralsTrue_secondariesTrue,config_pt150_eta-4.0_4.0_neutralsTrue_secondariesFalse,config_pt150_eta-4.0_4.0_neutralsFalse_secondariesTrue,config_pt150_eta-4.0_4.0_neutralsFalse_secondariesFalse,config_pt150_eta-3.0_3.0_neutralsTrue_secondariesTrue,config_pt150_eta-3.0_3.0_neutralsTrue_secondariesFalse,config_pt150_eta-3.0_3.0_neutralsFalse_secondariesTrue,config_pt150_eta-3.0_3.0_neutralsFalse_secondariesFalse,config_pt200_eta-4.0_4.0_neutralsTrue_secondariesTrue,config_pt200_eta-4.0_4.0_neutralsTrue_secondariesFalse,config_pt200_eta-4.0_4.0_neutralsFalse_secondariesTrue,config_pt200_eta-4.0_4.0_neutralsFalse_secondariesFalse,config_pt200_eta-3.0_3.0_neutralsTrue_secondariesTrue,config_pt200_eta-3.0_3.0_neutralsTrue_secondariesFalse,config_pt200_eta-3.0_3.0_neutralsFalse_secondariesTrue,config_pt200_eta-3.0_3.0_neutralsFalse_secondariesFalse
84,703747,192241,193536,98845,552303,165613,162036,84315,624252,173477,180476,96064,504173,149501,154553,83102,582422,154202,171151,90761,456464,133845,143653,78798,524561,135967,157048,83792,396932,118993,128122,73080
85,745977,216808,209079,109945,601712,184834,177809,93430,698930,193000,202259,105395,547833,165798,168394,91185,627878,172349,185533,100596,501409,147628,155545,86200,562125,150546,171459,92012,436126,128782,142579,78979
86,671341,182468,185158,93885,525811,159218,154150,82283,610363,162782,171978,91871,479228,140493,146246,79335,547334,144139,160222,86077,429692,124922,134186,75259,491424,126207,147010,78768,379035,110441,120239,69332
87,745977,216808,209079,109945,601712,184834,177809,93430,698930,193000,202259,105395,547833,165798,168394,91185,627878,172349,185533,100596,501409,147628,155545,86200,562125,150546,171459,92012,436126,128782,142579,78979
88,671341,182468,185158,93885,525811,159218,154150,82283,610363,162782,171978,91871,479228,140493,146246,79335,547334,144139,160222,86077,429692,124922,134186,75259,491424,126207,147010,78768,379035,110441,120239,69332
89,824888,233456,230017,117475,659871,201442,193088,100836,752214,208147,217634,114263,622722,180218,184413,98602,684166,183814,203905,107034,529112,159430,168370,92726,605943,162875,182588,99142,490857,140986,156599,85326
90,671341,182468,185158,93885,525811,159218,154150,82283,610363,162782,171978,91871,479228,140493,146246,79335,547334,144139,160222,86077,429692,124922,134186,75259,491424,126207,147010,78768,379035,110441,120239,69332
91,824888,233456,230017,117475,659871,201442,193088,100836,752214,208147,217634,114263,622722,180218,184413,98602,684166,183814,203905,107034,529112,159430,168370,92726,605943,162875,182588,99142,490857,140986,156599,85326
92,611024,169410,167378,85875,484776,146459,139915,73647,563856,151062,159861,83727,436845,131548,133056,72969,499163,133341,148098,79213,397574,116370,125777,69007,440419,115974,131688,71478,350800,102302,111588,63314
93,824888,233456,230017,117475,659871,201442,193088,100836,752214,208147,217634,114263,622722,180218,184413,98602,684166,183814,203905,107034,529112,159430,168370,92726,605943,162875,182588,99142,490857,140986,156599,85326
94,611024,169410,167378,85875,484776,146459,139915,73647,563856,151062,159861,83727,436845,131548,133056,72969,499163,133341,148098,79213,397574,116370,125777,69007,440419,115974,131688,71478,350800,102302,111588,63314
95,782801,220861,217043,111748,653129,191201,187026,96296,731109,196446,205931,107143,591854,172425,176253,94777,667567,175714,193615,101967,527838,153799,163168,89416,589334,155963,174753,94534,485802,136287,150401,82790
